,log_recency_days,log_frequency,log_monetary,log_avg_order_value,log_browse_events_90d,email_opens_90d,app_visits_90d,log_tenure_months,log_avg_days_between_orders,log_category_entropy,return_rate_90d
At-risk churners,4.845079404269197,1.5126644278057904,5.95871198146543,4.921667938672717,1.823022149612504,5.165399418681533,6.571652301862789,2.612912569819905,4.432299791620571,0.8172688468174986,0.06089852239839028
New explorers,3.3619742252440012,1.6829786854118773,5.735714620867042,4.5874359883904985,4.051971099945455,17.001438289151487,25.906183959071395,1.9000364164030028,3.4783335476875488,1.316238718547209,0.11789032072524039
Price-sensitive actives,3.1375521304421383,3.103277760738751,6.314344029431965,3.672968760343056,2.9043791535789016,6.6361344531959805,9.829754098104027,2.8707189279502776,3.1544754754382454,1.101302545564729,0.041740584682043835
High-value loyalists,3.0661977347050273,1.955124596271014,8.112571368647325,6.247045163784386,2.3250275696442064,4.416996790691688,6.491804164549866,3.9614466470208884,5.380172790478094,1.137811555961931,0.023461163692560745
