,log_recency_days,log_frequency,log_monetary,log_avg_order_value,log_browse_events_90d,email_opens_90d,app_visits_90d,engagement_score,rev_per_visit,log_tenure_months,ever_used_promo,fatigue_score,log_avg_days_between_orders,log_category_entropy,return_rate_90d,payment_mix_card,M_email,M_app
Price-sensitive actives,3.16424907621803,2.3491755031775137,7.142629183595916,4.795666120463276,3.0651356168981385,7.858676818178923,11.4024284664671,28.085301342593542,192.87145855856306,2.986606346483225,0.9983310960348152,0.7552612414042246,3.988301782542103,1.1099443982809634,0.046525643979989394,0.7648807656096368,0.6176940100859839,0.6910350832637758
At-risk churners,4.443550864330595,1.4726226368006696,6.230846321467876,5.028593006124337,2.093306676952416,5.937932673424713,7.666642913917917,17.098271867454443,205.97403888232674,2.2902450800860175,0.5694272353011534,0.931253744386125,4.0788902048272115,0.8683515688694555,0.0644475128364355,0.5923076173775355,0.3351053199568148,0.46472680762626056
New explorers,2.634419915063499,1.651357116355717,6.1606176739640635,4.524346025966341,3.58544827795628,15.254408427448135,21.79521793238136,53.81193931498169,147.8686923663554,1.8975051794766404,0.3027153643227658,0.948860228975485,3.438619096796984,1.3091837282322325,0.11930471135427156,0.5659948577483661,0.7182525243336035,0.7802920040025274
High-value loyalists,3.204236444202033,2.863162665437197,8.361481204491298,5.396361503278617,2.739360602680602,6.425094684299433,9.271343798447102,21.86909203607016,376.70785851452246,3.4506761214989368,0.10671594841154414,0.9972285942150257,3.963447713013038,1.1256128327626471,0.032408632800833566,0.781577066879888,0.6165657439446358,0.6940468700849138
