,log_recency_days,log_frequency,log_monetary,log_avg_order_value,log_browse_events_90d,email_opens_90d,app_visits_90d,engagement_score,rev_per_visit,log_tenure_months,ever_used_promo,fatigue_score,log_avg_days_between_orders,log_category_entropy,return_rate_90d,payment_mix_card,M_email,M_app
New explorers,3.401503681747692,1.8786821356071377,5.915779249619194,4.498890336721894,3.7686290027049116,14.542013317666658,21.883192205274284,54.23005213223436,85.28562252213032,2.0036849192380286,0.291931529733386,0.9523146980733029,3.3684850494920098,1.3050351189463065,0.11698938691132016,0.5713971050335775,0.6441976005033194,0.7252728179984074
High-value loyalists,3.2011528246018037,2.70397389023127,7.591957142542728,5.359837695811545,2.686701345285834,6.273017743547542,9.401197168275075,21.599903984082786,188.40223135121676,3.5176810915869376,0.1336367480919926,0.993688120443013,4.186644604206935,1.125252929821502,0.0313688909588281,0.7849895223590154,0.6250478281007483,0.699216626054748
At-risk churners,4.627120238042704,1.5197199299759907,6.031375563410577,4.946496746654184,2.2160030154624235,6.248009211169856,8.363119173532528,18.365700193142935,139.47779874566518,2.345016219952069,0.5794891492221705,0.9274533525065473,4.10719259711346,0.8654684953375011,0.06309581792058944,0.5976378355858516,0.31108123679670685,0.44334549644711935
Price-sensitive actives,3.435326903663067,2.2330455341143063,6.763821458398291,4.6883670792329895,3.267536261229801,8.56919627009646,12.992382701804006,32.132643487709295,142.89968437618288,2.8832894461816205,0.9965504024532903,0.7502455887266862,3.996255739686003,1.118500492530298,0.04692642191320395,0.7667331139320449,0.5843809888846315,0.6651590647757615
