,log_recency_days,log_frequency,log_monetary,log_avg_order_value,log_browse_events_90d,email_opens_90d,app_visits_90d,engagement_score,rev_per_visit,log_tenure_months,ever_used_promo,fatigue_score,log_avg_days_between_orders,log_category_entropy,return_rate_90d,payment_mix_card,M_email,M_app
High-value loyalists,3.05295738823236,2.9239436914241628,8.440312802446284,5.438029988943213,2.8575871822577663,6.937521246912947,10.156980886270272,23.863500693508616,398.8472061047872,3.4800241756770767,0.10016286644950462,0.9979845574881194,3.935602898818769,1.1585473735979332,0.02950330520398261,0.7903611963234252,0.6249999999999991,0.7178338762214972
At-risk churners,4.474257757976154,1.5092061111779715,6.379572645556601,5.065528514331076,2.0782894384532007,6.156884376406765,7.927124615652227,17.46325758561231,209.49762842496852,2.3166274726808367,0.5602589641434308,0.9327978832058967,4.073164758309667,0.8420016240380339,0.06446407107605055,0.5920541524133565,0.350099601593626,0.4760956175298813
Price-sensitive actives,3.1052328890390237,2.3507671403429824,7.076768281408451,4.8107215463296535,3.117461282569757,8.371675943770605,12.071094105284823,29.742378166621332,195.47797174976444,2.9922434181981363,0.9984084880636519,0.7584055190253315,3.995999152315206,1.1209143982877907,0.04645680721321044,0.7573241243847122,0.6095490716180366,0.7045092838196289
New explorers,2.6561588992515928,1.6482364352445291,6.082315090808002,4.54991919467464,3.6009019701966984,14.726854207491344,21.769280789538072,53.44972435676245,142.45183778705484,1.8338755452916295,0.30102967898243954,0.9500503424526269,3.360266475555985,1.306644721216415,0.12095541817231201,0.5586630234306391,0.6989703210175665,0.7686250757116895
