,log_recency_days,log_frequency,log_monetary,log_avg_order_value,log_browse_events_90d,email_opens_90d,app_visits_90d,log_tenure_months,log_avg_days_between_orders,log_category_entropy,return_rate_90d
Price-sensitive actives,3.457688095568286,2.313439034279574,6.992438122696452,4.7641602711686675,3.4112481616664567,9.047749237553637,13.823941604955042,2.9643765406873266,4.014031921501413,1.1100547548912756,0.04334117016057173
New explorers,3.5123683058425255,1.8087800843035786,5.7252442425060615,4.4660356262507435,3.878335749052991,14.993565944030067,22.103076191435882,1.7787933998570118,3.200683237618738,1.3102120851915413,0.11986176409507879
At-risk churners,4.838045163487841,1.3146269187000899,6.025993473953672,5.111702521837926,2.0317995220722778,6.294723311679627,8.02978869133107,2.301089117394992,4.283646117229108,0.8316601089629511,0.06077229247013201
High-value loyalists,2.893769144012866,3.0222204064132425,8.028159512135776,5.675612538709169,2.5094240609623264,5.5059793112246265,8.333249037341776,3.854798500257644,4.226247378497366,1.1361262221482156,0.02360093830338785
